userID	Active Life & Fitness	Arts & Entertainment	Automotive	Bars & Nightlife	Coffee,Tea & Desserts	Drinks & Spirits	Education & Learning	Event Services	Family & Kids	Food & Restaurants	Health & Beauty	Home & Garden	Miscellaneous	Outdoor Activities	Public Services & Community	Shopping & Fashion	Specialty Food & Groceries	Sports & Recreation	Technology & Electronics	Travel & Transportation	Asian
0	0.0047169811320754715	0.01650943396226415	0.0	0.08254716981132075	0.09905660377358491	0.019654088050314468	0.0	0.0047169811320754715	0.001572327044025157	0.5660377358490566	0.009433962264150943	0.0	0.001572327044025157	0.003144654088050314	0.0047169811320754715	0.0023584905660377358	0.009433962264150943	0.0	0.0	0.0023584905660377358	0.1721698113207547
1	0.010057471264367816	0.07026546250684182	0.005268199233716475	0.05555555555555555	0.03434592227695676	0.01293103448275862	0.0008210180623973727	0.034482758620689655	0.0	0.5592501368363437	0.017241379310344827	0.0028735632183908046	0.0019157088122605363	0.008004926108374383	0.007662835249042145	0.027640941434044882	0.021893814997263273	0.0028735632183908046	0.0033524904214559384	0.019157088122605366	0.10440613026819924
2	0.0	0.03095238095238095	0.007142857142857143	0.11666666666666665	0.05714285714285714	0.02952380952380952	0.0	0.02952380952380952	0.0	0.47238095238095235	0.02857142857142857	0.0	0.0	0.007142857142857143	0.0	0.005714285714285714	0.03666666666666666	0.0	0.0	0.05714285714285714	0.12142857142857143
3	0.009310070583557014	0.08932299433343274	0.0040759518838850775	0.10111343075852469	0.0698876627895417	0.016562282533054976	0.0013420817178645987	0.034988567452033006	0.0012178148921363951	0.500810219703748	0.0025101898797097125	0.0010438413361169101	0.004423898995924048	0.007277065314643603	0.006526493687245253	0.026155681479272292	0.015543294562083707	0.007028531663187195	0.002858136991748683	0.03130032806441992	0.06670146137787056
4	0.0	0.0	0.0	0.08333333333333333	0.053921568627450976	0.014705882352941176	0.0	0.0	0.0	0.6568627450980392	0.0	0.0	0.0	0.0	0.00980392156862745	0.0	0.0196078431372549	0.0	0.0	0.00980392156862745	0.1519607843137255
5	0.0021551724137931034	0.02729885057471264	0.0028735632183908046	0.050287356321839075	0.09410919540229884	0.013936781609195403	0.0	0.04554597701149425	0.0021551724137931034	0.6209770114942529	0.0021551724137931034	0.0021551724137931034	0.0021551724137931034	0.004310344827586207	0.008620689655172414	0.006752873563218391	0.022557471264367815	0.0	0.0028735632183908046	0.0071839080459770105	0.08189655172413793
6	0.0	0.02127659574468085	0.005319148936170213	0.03900709219858156	0.10638297872340426	0.03723404255319149	0.0	0.010638297872340425	0.0	0.6276595744680851	0.0	0.0	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0	0.0	0.14184397163120566
7	0.002105263157894737	0.05035087719298245	0.0	0.021052631578947368	0.17964912280701753	0.008771929824561403	0.0	0.021403508771929824	0.002631578947368421	0.5024561403508772	0.002105263157894737	0.002631578947368421	0.002105263157894737	0.007894736842105263	0.0	0.03105263157894737	0.0331578947368421	0.002105263157894737	0.0	0.016140350877192983	0.1143859649122807
8	0.0	0.031007751937984496	0.0	0.10852713178294572	0.12015503875968991	0.031007751937984496	0.0	0.015503875968992248	0.0	0.5813953488372093	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.08914728682170542
9	0.0	0.0	0.0	0.09583333333333333	0.10416666666666666	0.020833333333333332	0.0	0.020833333333333332	0.0	0.6375	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.008333333333333333	0.09166666666666666
