0	0	3	881250949
1	1	3	891717742
2	2	1	878887116
3	3	2	880606923
4	4	1	886397596
5	5	4	884182806
6	6	2	881171488
7	7	5	891628467
8	8	3	886324817
9	9	3	883603013
10	10	2	879372434
11	11	5	879781125
12	12	5	876042340
13	13	3	891035994
14	14	3	888104457
15	15	3	879485318
16	16	5	879270459
17	17	2	879539794
18	18	4	874834944
19	19	2	892079237
20	20	4	886176814
21	21	4	892738452
22	22	4	877881320
18	23	2	874833878
23	24	4	887736532
24	25	2	879196566
25	26	5	892430094
26	27	2	883748450
27	28	4	875747401
28	29	5	876861185
29	30	3	877052329
30	31	4	882075827
31	32	4	879539727
32	33	4	880731963
33	34	3	884238860
34	17	4	886890835
35	35	1	878962623
36	36	5	891295330
37	37	1	874791932
38	38	4	891350932
39	39	4	877888877
40	40	4	885329322
41	41	2	884114233
37	42	3	874791805
42	43	5	875333916
43	44	5	884921594
44	45	5	879741196
45	46	5	879641194
46	47	5	886519097
47	48	3	882823437
48	49	4	886271884
49	50	2	876535131
50	51	4	890618898
51	52	5	885853415
52	53	5	888205088
53	54	2	880037164
54	55	4	879877127
32	56	5	880474293
55	57	5	881107687
56	58	4	881103977
6	59	3	881171009
57	60	1	879667584
41	61	4	884112673
58	62	3	882141053
43	63	4	884920949
59	64	5	879024232
21	65	1	892738341
60	66	5	883326620
61	40	5	883698581
62	17	4	891550094
63	67	4	893277702
64	68	3	879987440
65	69	1	890251826
43	70	3	884923047
17	71	4	879546723
66	72	2	887249482
47	73	4	882823954
67	74	3	886475558
68	75	3	888906576
69	76	5	884364867
31	77	5	879539643
22	76	3	878192429
31	78	5	879540748
37	79	3	874791025
18	22	5	874835091
70	80	4	878183381
71	81	5	878971773
55	82	3	881108684
72	83	4	891903862
24	84	4	888954412
73	85	4	879361873
74	86	4	877635573
54	87	4	879876194
75	88	5	875296291
76	89	2	885557505
20	90	5	874781198
10	91	4	879373848
10	92	3	879375537
77	93	4	881961214
78	94	4	879857765
79	95	3	883709863
80	92	5	891383835
11	96	4	877531942
68	97	3	888905170
81	22	4	880234639
4	98	5	886397722
82	99	4	878090499
83	100	5	885848672
28	101	5	876860807
84	23	4	875320714
85	91	3	884207492
55	102	5	881107178
86	103	5	884288058
87	104	4	886987260
88	22	4	884304936
80	105	4	891384754
83	4	4	885844430
10	106	3	879373460
75	107	3	881375854
89	108	4	879376641
90	109	4	891720887
91	110	3	879966895
5	111	4	884182806
92	112	5	878347874
93	113	5	886122352
17	114	2	879524643
53	112	5	880037702
70	115	5	883815120
82	116	3	878089182
94	6	3	890687042
14	117	3	888082216
95	118	3	878769629
96	119	4	879791710
68	120	3	888904884
81	121	3	880245029
82	122	3	878092059
52	94	5	888205300
11	123	5	877533771
3	124	4	880605185
38	125	4	891352010
97	126	1	886434402
54	17	4	879876734
17	127	2	879551380
95	128	2	884714402
58	129	2	882139746
58	130	4	884538403
3	131	2	880605157
8	66	5	886323090
24	132	2	888954930
98	133	2	883955745
22	134	4	889502823
61	135	3	883698454
99	136	3	883452363
100	137	4	891449922
22	83	3	877878184
17	138	4	879525876
28	118	4	876860807
46	139	3	885678247
39	21	4	877886846
101	140	4	874724988
102	66	3	879456350
15	63	4	879467295
103	141	5	878870987
104	108	3	891387947
80	31	5	891383204
105	142	2	888067405
55	143	3	881108425
106	144	2	879371261
107	140	4	876973939
108	145	4	875537965
109	47	4	885412840
110	146	4	875744136
111	147	3	875636053
8	140	2	886324028
92	95	4	883612356
98	148	4	875975656
75	149	1	875298353
112	138	5	887401701
67	150	4	886472768
5	151	3	884183336
75	152	1	892174404
113	153	4	883601324
114	154	3	880130193
110	155	2	875542174
46	156	4	885680138
58	31	4	881515011
115	157	3	891347949
38	158	4	891353086
70	159	4	878183481
12	160	5	884128554
20	98	4	876923913
103	161	5	878955442
37	51	3	874786392
90	162	3	891723086
116	123	4	875801662
25	98	4	892428688
28	163	3	876857977
68	164	3	888906966
115	165	2	891385985
116	166	4	875216545
65	167	3	886443455
117	168	4	882164999
118	169	4	878542420
53	170	4	880036718
119	159	3	892910207
58	171	4	882140926
120	136	2	879455957
65	172	3	875654637
121	173	2	884386343
56	101	5	881105481
122	174	5	888549622
48	175	2	886272175
14	64	3	888104153
35	176	4	878962392
101	177	4	874724710
8	120	4	886323648
123	178	3	882922806
124	179	5	891170769
125	180	5	877399018
126	181	2	892838559
33	182	5	884238860
88	183	4	884304936
127	29	4	887665548
80	184	4	891383319
128	185	5	879455113
17	52	3	879521396
126	186	4	879454628
87	187	1	886987605
22	133	4	877877775
129	188	5	879524921
100	189	4	891446165
9	133	5	883599249
130	190	3	880937882
15	191	5	879467542
131	192	1	877727122
30	193	4	882078621
37	194	3	874793035
8	195	2	886323068
17	196	2	879541148
132	144	2	891438397
54	197	4	879875940
133	198	4	877819599
11	199	4	877531791
12	200	5	884128458
134	98	1	891632142
47	201	4	882826555
15	202	2	879484804
10	203	4	879374686
121	204	3	876018608
65	161	4	875653271
30	205	4	882078040
135	206	5	882157581
136	207	3	884150257
27	0	3	875747190
77	44	3	881961671
75	208	4	875307407
82	209	4	878089716
137	31	3	890881335
22	210	3	889502324
17	79	3	879525876
15	124	3	879485532
20	77	5	874775038
138	211	5	879966498
110	165	2	875742942
110	147	2	875744173
113	157	4	883601089
139	179	5	879394264
127	212	4	880308578
140	213	3	891542540
141	173	2	881368243
142	214	4	891374868
110	215	1	875744501
30	216	4	882076587
143	217	5	879283786
19	218	3	892334609
127	219	4	880308755
35	116	2	878961624
144	220	4	875240090
25	221	5	892430369
38	92	4	891352093
93	222	4	886122952
35	223	1	878961814
41	224	1	884140579
102	225	4	879456199
100	226	3	891450023
52	227	3	888205855
11	56	4	889651549
145	102	1	889124507
146	228	5	875936424
56	229	5	881104093
116	11	3	876250718
147	31	4	875155140
63	230	5	893265380
148	231	1	889452455
149	93	5	877488546
150	66	3	879873020
20	12	5	874775311
151	145	4	880134407
70	23	4	877563802
152	51	2	879436875
75	232	3	875308843
30	156	5	882076403
35	233	2	878963441
41	234	1	884140115
58	235	3	881515193
118	236	3	888732928
76	77	5	875270570
153	114	4	874786462
41	237	4	884114505
